category,satisfaction_score,Aesthetics,Safety,Vibrancy,Wealth,Depression,Boring
CAT,4.3,4.823886752,3.005249858,3.556509078,5.20877552,5.702787876,5.436771631
CAT,3.1,4.871215105,2.940965652,3.334210157,5.332891107,5.875965714,5.278702021
CAT,3.4,4.885068297,2.977095246,3.30954653,5.219101191,5.84767592,5.255083561
CAT,3.6,4.824900985,3.070598423,3.299180984,5.230775118,5.765401125,5.322151065
CAT,3.6,4.747342348,2.997820139,3.497622848,4.997352839,5.589801192,5.084730268
CAT,3.5,4.86398983,3.17143029,3.220828652,5.206304193,5.858608365,5.238371611
CAT,3.6,4.859075189,3.06748265,3.441277742,5.078410149,5.801428795,5.172119379
CAT,3.6,5.02238667,2.999749482,3.420288563,5.184603453,5.783730745,5.147450924
CAT,3.3,4.954613328,3.016336381,3.439014435,5.339571238,5.94959271,5.34888804
CAT,3.8,4.951065898,2.966438413,3.205037534,5.222709537,5.875879169,5.185778737
CAT,3.8,4.886346459,3.219419658,3.193814576,5.046704888,5.831854105,5.088774323
CAT,3.5,4.927762508,3.110431135,3.448388338,5.243805289,5.860500932,5.458343744
CAT,3.6,4.88345778,3.168008864,3.227735996,5.055999398,5.864614844,5.097201943
CAT,3.9,4.850262284,3.082134068,3.466260314,5.185688257,5.690684795,5.301637292
CAT,3.6,4.869199395,2.940613866,3.381266356,5.126067519,5.851619482,5.133425355
CAT,3.7,4.84873724,3.114887357,3.58878243,5.231789112,5.959858179,5.391677141
CAT,3.7,4.792224407,3.025816202,3.580468833,5.171343684,5.799176335,5.209944487
CAT,3.8,4.727456808,3.123542309,3.276649117,5.121618032,5.728762269,5.235298276
CAT,3.6,4.914429307,2.890367866,3.287957251,5.19324398,5.778643727,5.154914618
CAT,3.5,4.834121108,3.070972204,3.445306718,5.139592886,5.808341265,5.317843199
CAT,2.9,4.81813097,2.998841107,3.563736618,5.162071109,5.663717628,5.535853386
CAT,3.6,4.882933736,2.967060745,3.401498675,5.132290959,5.785133004,5.183134913
CAT,3.7,4.892558813,3.172679782,3.54955858,5.186646938,5.949483991,5.27313447
CAT,3.7,4.79283452,3.014701843,3.577632368,5.23348999,5.84589839,5.271805644
CAT,3.7,4.921250463,2.987714112,3.394013882,5.211589098,5.944973588,5.252660871
CAT,3.5,4.823843718,2.980686247,3.310372651,5.101138473,5.983860373,5.235752106
CAT,3.6,4.899811387,3.159829617,3.434769928,5.238188863,5.879027843,5.267773867
CAT,3.9,4.877843142,3.043513596,3.311922193,5.179999709,5.822639585,5.248993039
CAT,3.3,4.761535287,2.867441475,3.346875608,5.14542532,5.765835524,5.283519864
CAT,3.9,4.784072161,2.932960927,3.414376557,5.018818498,5.782321334,5.314269304
CAT,3.9,4.907480478,3.075948954,3.378863454,5.116749287,5.935082793,5.208071828
CAT,3.7,4.888968587,3.080153525,3.344989777,5.075256705,5.794738293,4.990208149
CAT,3.5,4.667832971,2.953137815,3.063047945,5.031835437,5.754781723,5.013061643
CAT,3.5,4.723169804,3.063991427,3.372935116,4.907052636,5.921264887,5.215689182
CAT,3.7,4.964032054,3.022042692,3.099253237,5.096614003,5.983263731,4.925290346
CAT,3.6,4.799623489,3.060768068,3.566141188,5.171445489,5.808297276,5.263367891
CAT,3.4,4.878045082,3.074283004,3.382596135,5.272228122,5.785068035,5.339898229
CAT,3.5,4.84911263,3.006169438,3.413336933,5.216189504,5.753655076,5.151343226
CAT,3.6,4.859421849,3.023954034,3.453008592,5.233987689,5.834699035,5.369299293
CAT,4.0,4.802507043,3.020985246,3.588554204,5.079113841,5.759788513,5.285951018
CAT,4.0,4.814062119,3.017239749,3.444092989,5.193982363,5.852880716,5.124853492
CAT,3.5,4.958025694,3.199457943,3.340565205,5.167738795,6.053184271,5.319368243
CAT,3.8,4.899178743,3.106886685,3.384934723,5.084456086,5.85205555,5.317805052
CAT,4.0,4.823961973,3.099858105,3.507000327,5.237724185,5.782658458,5.355701923
CAT,3.6,4.90472579,3.048376679,3.250310302,5.208814383,5.817066908,5.174548626
CAT,3.2,4.85076797,3.152459502,3.189748406,5.053430557,5.902565598,5.015523434
CAT,3.5,4.944337368,2.947722554,3.416917682,5.332543015,5.913997889,5.363987565
CAT,3.5,4.905632257,3.007701814,3.328418076,5.184956074,5.916074276,5.312273502
CAT,3.6,4.778205633,3.118240714,3.38082248,4.980809927,5.715243697,5.028768539
CAT,3.5,4.772319555,3.067162275,3.304086745,5.121350646,5.779312611,5.095306039
CAT,3.6,4.735535264,3.094585717,3.316946924,5.176333189,5.733463764,5.232693315
CAT,4.1,4.906930685,2.971714914,3.332405686,5.106176615,5.957568884,5.058303952
CAT,3.5,4.914122105,3.04492414,3.225422859,5.150099993,5.837594867,5.229362011
CAT,3.7,4.809074163,3.060770452,3.527761221,4.99794662,5.714433074,5.0860039
CAT,3.6,4.905962467,3.036140621,3.571256578,5.238785267,5.805661201,5.398463726
CAT,3.8,4.905817747,3.013174951,3.388002932,5.181929588,5.828972578,5.367408633
CAT,3.7,4.997471452,3.132852018,3.376937509,5.230179071,5.923815131,5.191415191
CAT,3.5,4.829129338,3.025067091,3.36075902,5.239171267,5.911843181,5.167599201
CAT,3.2,4.878027797,3.122837961,3.270572782,5.069381118,5.868262172,5.387072563
CAT,3.5,4.75983572,3.136316597,3.216544509,5.138722897,5.8551507,5.290887356
CAT,3.4,4.70992887,2.964933097,3.444809914,5.129494786,5.644220591,5.311140656
