segment_id,category,n_poi,mean_shap_Safety,mean_shap_Aesthetics,mean_shap_Vibrancy,mean_shap_Wealth,mean_shap_Depression,mean_shap_Boring,mean_abs_shap_Safety,mean_abs_shap_Aesthetics,mean_abs_shap_Vibrancy,mean_abs_shap_Wealth,mean_abs_shap_Depression,mean_abs_shap_Boring,dominant_driver,negative_driver,negative_shap_value
S000094,CAT,6,-0.007209714593585098,-0.004214858053988836,-0.003869633085024686,8.417811857356734e-05,-0.023612826735544854,0.0004741045584255459,0.0369857852254234,0.032182023502810984,0.030568758437672178,0.01243355971710721,0.023612826735544854,0.018548768766669763,Safety,Depression,-0.023612826735544854
S000933,CAT,2,-0.039232619474370206,-0.04603320959816527,-0.023707139612272863,-0.04767200429132335,-0.006522381432065855,-0.05630826463942137,0.039232619474370206,0.04603320959816527,0.023707139612272863,0.04767200429132335,0.006522381432065855,0.05630826463942137,Boring,Boring,-0.05630826463942137
S000220,CAT,2,0.05819509465007637,0.05089173747912053,0.12469853372790884,0.12987180878211843,0.07623479209805305,0.11973086761355713,0.05819509465007637,0.05089173747912053,0.12469853372790884,0.12987180878211843,0.07623479209805305,0.11973086761355713,Wealth,,0.05089173747912053
S000087,CAT,8,0.011427677275544414,0.002387921267072839,-0.019671540899449745,-0.0029900017118407785,0.040190617044666296,0.03292846442826954,0.01634051803506528,0.004054253418499076,0.019671540899449745,0.01322577822292058,0.045164952812822165,0.03292846442826954,Depression,Vibrancy,-0.019671540899449745
S000140,CAT,14,-0.027957204983162683,-0.0232705029732072,-0.009146332732174814,-0.01913539623098278,-0.061853836661099594,-0.012069594430557244,0.027957204983162683,0.0232705029732072,0.012967528706101671,0.025910231227924806,0.061853836661099594,0.018965476657167014,Depression,Depression,-0.061853836661099594
S000876,CAT,6,0.09529684544379112,0.056647395696193766,0.06858840730988176,0.13033476457934887,0.07227867647662842,0.08257871216779107,0.09529684544379112,0.056647395696193766,0.06858840730988176,0.13033476457934887,0.07227867647662842,0.08257871216779107,Wealth,,0.056647395696193766
S000562,CAT,10,0.00565694098383137,0.01418681944725841,-0.007434144868969775,0.015662384613469405,-0.025337017893572768,0.011366512574978312,0.020431860438145648,0.04131205655834387,0.06732792039476636,0.06599469126098785,0.05381247507445612,0.06934774897346824,Boring,Depression,-0.025337017893572768
S000213,CAT,6,0.016451556827792254,-0.0012869407770067023,0.006808065688682016,-0.002238087917121375,0.02284976032723897,-0.022748729810961026,0.03153806582969291,0.024996603329564316,0.03118498009614737,0.03957940366646946,0.05728249958062618,0.0380872504392046,Depression,Boring,-0.022748729810961026
S000439,CAT,16,-0.025210200638960508,-0.011366817339930583,-0.04079175508488866,-0.02638693896368456,-0.02329430192928176,-0.025721538439931368,0.0332251959711314,0.032753161042051136,0.04079175508488866,0.02824487944023591,0.03173502414765694,0.03696469861804963,Vibrancy,Vibrancy,-0.04079175508488866
S001057,CAT,12,-0.01958319277347104,-0.001484931819646319,-0.0021760590459559866,-0.018317290997998278,-0.025168264612412807,-0.03492914258499327,0.01958319277347104,0.013194854830261837,0.008749488793181973,0.018317290997998278,0.025168264612412807,0.03492914258499327,Boring,Boring,-0.03492914258499327
S000803,CAT,4,0.0020243467469045415,0.046586075913206154,0.09999906365368612,0.041883858801431716,0.0920869001421292,0.03943424304138059,0.0673654455395502,0.06634185076911689,0.1326447193409176,0.06437464254703129,0.1247476604378411,0.06809886766997919,Vibrancy,,0.0020243467469045415
S001354,CAT,14,-0.03853973633059708,-0.04127055791144879,-0.03250529772030359,-0.02964843490288978,-0.02723110059911884,-0.02231870203845173,0.03853973633059708,0.04275030046527319,0.03898820613437155,0.02964843490288978,0.02723110059911884,0.02600031279389539,Aesthetics,Aesthetics,-0.04127055791144879
