segment_id,category,n_poi,mean_satisfaction,mean_Safety,mean_Aesthetics,mean_Vibrancy,mean_Wealth,mean_Depression,mean_Boring,dominant_shap_driver,negative_shap_driver,negative_shap_value,low_satisfaction_flag,low_satisfaction_threshold,geometry_wkt_epsg32649,centroid_x_epsg32649,centroid_y_epsg32649
S000508,CAT,6,3.8666666666666667,3.0054346123333335,4.897482077333333,3.3846084873333333,5.193330923666667,5.840531786333333,5.166989167666666,Wealth,,0.02468427301908858,0,3.542857142857143,"MultiLineString ((815480.41209712368436158 3388642.23593808012083173, 815482.78647676599211991 3388637.88747870596125722, 815621.74771411868277937 3388545.58124313596636057, 815637.13231633766554296 3388527.52752147661522031, 815697.42014797381125391 3388477.06551678478717804, 815734.60365827288478613 3388441.98944751312956214, 815738.57554717292077839 3388433.59181030560284853, 815845.18442470289301127 3388344.01520853629335761, 815862.53759595286101103 3388332.879263611510396, 815884.05945453001186252 3388316.47058833250775933, 816015.59251766093075275 3388210.81957097025588155, 816025.98912296304479241 3388202.76565297320485115))",815754.3252064141,3388424.795175462
S001644,CAT,56,3.8749999999999996,3.0258765113571426,4.868836926535714,3.3797065169285716,5.1734271262142855,5.869950324321428,5.214239137464285,Depression,,0.013837643085654609,0,3.542857142857143,"MultiLineString ((816377.33650968957226723 3384463.50731713464483619, 816541.29301242274232209 3384437.50761596625670791, 816566.02875005733221769 3384433.65924399485811591, 816678.48218835517764091 3384419.150725984480232, 816896.08062753593549132 3384391.07697701547294855, 816899.85273591103032231 3384390.54375362209975719, 817004.96252488368190825 3384375.55664283176884055, 817126.92699568462558091 3384358.16812799265608191, 817144.28278178535401821 3384355.70281053520739079, 817200.39319575554691255 3384347.70408758195117116, 817381.53433533385396004 3384315.77202321076765656))",816879.7358046001,3384391.5540842335
S000159,CAT,8,3.9499999999999997,3.1218536342500003,4.81760400525,3.284988806,5.0489871504999995,5.8045111597500005,5.17795389875,Vibrancy,,0.02437153897088514,0,3.542857142857143,"MultiLineString ((818879.92679992248304188 3383549.8980490337125957, 818985.73209765634965152 3383743.86043547932058573))",818932.8294487894,3383646.8792422563
S001811,CAT,12,3.5333333333333337,3.0918687385000005,4.793942729666666,3.307554582833333,5.000733495166667,5.684594929166667,5.1987521249999995,Wealth,Wealth,-0.04804915931288062,1,3.542857142857143,"MultiLineString ((814389.93324606830719858 3396830.74185714311897755, 814432.34822559170424938 3396766.36865343386307359, 814489.88635742920450866 3396679.03864990593865514, 814496.07014045375399292 3396671.02751284465193748, 814677.77403421339113265 3396384.24029580317437649, 814707.83598898584023118 3396336.78943823510780931, 814815.49644915829412639 3396171.22758861538022757, 814819.95775612164288759 3396164.37617244943976402, 814934.78635174524970353 3395916.99418494757264853))",814675.0208243271,3396380.901922846
S000771,CAT,8,4.025,3.072769001,4.8584123550000005,3.3267686665,5.1790248155,5.8627202215,5.21760094175,Boring,,0.04765784382353528,0,3.542857142857143,"MultiLineString ((817719.69930175656918436 3384896.55953746242448688, 817718.18669269268866628 3384873.84810368716716766, 817732.87108134012669325 3384797.90960228675976396, 817736.36033003684133291 3384779.2305174726061523, 817738.94709629460703582 3384742.89736268483102322, 817740.9233453506603837 3384724.05157935526221991, 817828.80967473052442074 3384248.58920751512050629))",817770.2524827099,3384572.263062372
S001181,CAT,8,4.050000000000001,3.0565482824999997,4.864183455500001,3.501824066,5.17569929375,5.677733301750001,5.204088807250001,Vibrancy,,0.00903347098901063,0,3.542857142857143,"MultiLineString ((819479.12330899247899652 3383886.82685289345681667, 819361.10160329611971974 3383596.47777274949476123, 819319.61024197656661272 3383499.69821846066042781, 819314.62186842341907322 3383488.0506609664298594, 819272.77945536409970373 3383390.4397290819324553, 819119.3793823232408613 3383018.6266294582746923, 819097.35168317193165421 3382962.48493608506396413, 819090.27149413526058197 3382947.78970080427825451))",819284.9708484117,3383417.179980646
S001267,CAT,4,3.5,3.0743765535,4.8747299315,3.417701602,5.1117125155,5.822490215,5.130047977,Wealth,Wealth,-0.04726902463217317,1,3.542857142857143,"MultiLineString ((817540.88147139037027955 3379595.19840415986254811, 817541.25604638690128922 3379802.85043914150446653, 817541.8259683937067166 3379894.77711371844634414, 817541.48265621671453118 3379922.19578531570732594, 817541.61573146271985024 3379990.03329479740932584, 817541.67186412739101797 3380095.19864624831825495, 817535.10641073551960289 3380174.48368331138044596))",817540.9641178207,3379884.9579929067
S001219,CAT,16,4.1625000000000005,3.0110251977499995,4.813186347625,3.3717377706250002,5.07500809425,5.738908499499999,5.13052396475,Depression,,0.037165545975708876,0,3.542857142857143,"MultiLineString ((814139.94241178373340517 3393710.22544908616691828, 814260.57009559939615428 3393769.32426868006587029, 814292.80414271459449083 3393786.67124195490032434, 814396.43225031776819378 3393842.45600424008443952, 814405.79624944971874356 3393846.86986056482419372, 814438.95295618090312928 3393862.19074887409806252, 814642.86754813324660063 3393967.11776497680693865, 815024.93999365740455687 3394164.95317166624590755, 815218.59337950777262449 3394267.26111029833555222, 815413.8217431241646409 3394370.40713631734251976, 815529.14900200779084116 3394442.24277945188805461, 815604.60540999437216669 3394501.94347852189093828, 815774.50684034032747149 3394648.93318375246599317, 816076.41064353077672422 3394925.38057175138965249, 816107.22348547610454261 3394944.84545033192262053))",815159.8160636786,3394274.213209307
S000850,CAT,6,3.5,3.050207217333334,4.916659236,3.4310968516666667,5.143481572333333,5.808843255333334,5.258191665333333,Boring,Boring,-0.03613271310460877,1,3.542857142857143,"MultiLineString ((822006.2296159896068275 3387969.13378560170531273, 821990.75299554248340428 3387947.69116352638229728, 821952.15344581822864711 3387894.20948062604293227, 821936.22652014356572181 3387876.9052779758349061, 821922.48423893994186074 3387865.5719059775583446, 821905.17736191605217755 3387854.59851891873404384, 821887.26989543333183974 3387846.69317898852750659, 821868.19858471548650414 3387840.45170689467340708, 821848.65180834243074059 3387835.98319465294480324, 821834.68828204344026744 3387834.31225838651880622, 821825.47168051451444626 3387833.21590961562469602, 821802.39778774022124708 3387835.58045329572632909, 821786.127629752503708 3387839.43560872599482536, 821754.41147766064386815 3387854.29732607724145055, 821728.87932247703429312 3387872.42966154497116804, 821708.26008133194409311 3387890.71962438942864537, 821679.2021071813069284 3387912.75430661113932729, 821638.89254346233792603 3387943.32323702238500118, 821627.39498814824037254 3387952.04986227443441749, 821605.52034095115959644 3387970.90195449301972985))",821812.8922164536,3387888.5436929874
S000575,CAT,20,3.7600000000000002,3.1526794612999995,4.8764163968,3.2143836618000003,5.165791106199999,5.937897646399999,5.126094281600001,Wealth,Vibrancy,-0.02292966763969735,0,3.542857142857143,"MultiLineString ((813085.89720046333968639 3389033.61834786785766482, 813065.56057455320842564 3389124.5243558925576508, 813027.3914011858869344 3389295.18721268000081182, 812987.67532703117467463 3389366.33899033907800913, 812980.87848336424212903 3389388.45251497207209468, 812971.33622353267855942 3389419.46610056422650814, 812965.64237530075479299 3389437.98195287911221385, 812956.28104545082896948 3389468.39037384511902928, 812934.69521519774571061 3389538.5368082532659173, 812931.17167518334463239 3389550.10044532222673297))",813014.7533080776,3389293.6868486134
